NameCorp,AfterEmerging,Assets1Before,Assets2Before,Assets3Before,AssetsBefore,AssetsCurrDollar,AssetsEmerging,AssetsPetCurrDollar,AssetsPetition,BondISIN,BondPriceDisp,BondPriceFile,BondPriceMoveDuring,CaseNum,CaseNumRefile,CaseNumTransfer,CeoFiling,CeoNotes,CeoReplaced,Chapter,CikBefore,CikEmerging,CityChange,CityDisposed,CityFiled,CityFiledCategory,CityRefile,ClaimsAgent,ClaimsAgentFirm,ClaimsSecDiscloState,ClaimsUnsec,CommCred,CommCredAtty,CommCredAttyCol,CommCredAttySubstit,CommEquity,CommEquityAtty,CommEquityAttyCol,CommEquityAttySubstit,CommRetirees,CommRetireesName,CommRetireesRequest,CommonName,CPIndexAtConf,CPIndexAtFiling,Cusip6,Cusip9,Date10k1Before,Date10k2Before,Date10k3Before,Date10kBefore,Date10kBeforeLink,Date10kDuring,Date10kDuringLink,Date10kEmerging,Date10kEmergLink,Date10kSalesEmerge,Date363Sale,DateCeoBegin,DateCeoEnd,DateCommCred,DateCommCredBy,DateConfirmed,DateConvDismiss,DateDipLoan1FinOrd,DateDiscloState,DateDisposed,DateEffective,DateEmerging,DateFeeRev,DateFiled,DateJudgeAppt,DateRefile,DateTransferred,DateTurnEngage,DaysDocsAfter,DaysFiledTo363,DaysEmergeToRefile,DaysIn,DENYOther,DipAtty,DipAttyColDoc,DipAttyColDkt,DipFinAdvPetition,DipLoan1Lender,DipLoan1Total,DipLoan2Lender,DipLoan2Total,DipLoanAdditional,DipLoanDoc,DipLoan,Disposition,DistFiled,DistribComments,DistribEquity,DistribSecDiscloState,DistribUnsec,DistribUnsecPct,DktNumConf,DktOnPacer,DocsOnPacer,DocsPublic,EbitBefore,EbitCurrDollars,EbitdaBefore,EbitdaEmerging,EbitEmerging,Emerge,Emerg10k,EmplBefore,EmplEmerging,EmplUnionBefore,EmplUnionEmerging,Examiner,ExaminerName,ExaminerRequest,FeeReviewer,FilingRate,FirmEnd,FreshStartAccounting,GdpDisp,GdpFiling,GdpRefiling,GdpYear1AftDisp,GdpYear1BefFile,GdpYear2AftDisp,GdpYear2BefFile,GvkeyBefore,GvkeyEmerging,HeadCAtFiling,HeadCityPctPop,HeadCityPop,HeadCourtCity,HeadCourtCityToDE,HeadStAtFiling,HqToForum,HqToHqCtCity,IncomeBEBefore,IncomeBEEmerging,IncPublic,InterCompanyClaims,InterCompanyPct,InterCompanyDistrib,JudgeApptDist,JudgeDisposition,JudgeFiling,Liab1Before,Liab2Before,Liab3Before,LiabBefore,LiabCurrDollar,LiabEmerging,LiabPetCurrDollar,LiabPetition,MonthDisp,MonthFiled,MonthRefile,MonthsIn,Multiple363Sales,NameEmerging,NetIncomeBefore,NetIncomeEmerging,NumberFiling,Prepackaged,PrimaryKey,Prime1YearAftDisp,Prime1YearBefFile,Prime2YearAftDisp,Prime2YearBefFile,PrimeDisp,PrimeFiling,PrimeRefiling,ProfFees10k,ProfFees10kNotes,Refile,Refile5,Refile5RepRange,RelatedFilings,Sale,Sale363,SaleConf,SaleIntended,Sales1Before,Sales2Before,Sales3Before,SalesBefore,SalesCurrDollar,SalesEmerging,Shop,SICDescription,SICDivision,SICIndustryGroup,SICMajGroup,SICPrimary,SubCon,TortCause,TransferCity,TransferDist,Transferred,Trustee,TrusteeFor,TrusteeName,TrusteeRequest,TrusteeRequestor,TurnFirm,TurnOffice,TurnPerson,TurnRepRange,TurnType,UsPopFiling,Voluntary,YearConfirmed,YearDisposed,YearEmerged,YearFiled,YearsEmergeToRefile
"Armstrong Flooring, Inc.",,517,,,517,525,,525,517,,,,,22-10426,,,Michel S. Vermette,,NoReplace,11,0001655075,,,,Wilmington,Wilmington,,yes,"Epiq Corporate Restructuring, LLC",,,case not disposed,,,,case not disposed,,,,case not disposed,,,,,292.296,04238R,106,12/31/2021,,,12/31/2021,12/31/2021#https://www.sec.gov/Archives/edgar/data/1655075/000165507522000005/0001655075-22-000005-index.htm#,,,,,,7/13/2022,9/30/2019,9/30/2022,,,,,,,,,,,5/8/2022,,,,,,66,,,DE,Skadden Arps,"Skadden, Arps, Slate, Meagher & Flom LLP",,,,,,,,,case not disposed,pending,DE,,,,,,,yes,yes,yes,-80.7,-81.94268105,-37.4,,,pending,pending,1568,,,,,,,pending,6,,,,122.403,,,120.243,,106.92,026343,,Lancaster,0.000174857,58034,PA Reading,47,PA,44,35,-53,,DE,,,,,,Mary F. Walrath,317.8,,,317.8,322.6937303,,322.6937303,317.8,,5,,,,liquidated,-53,,4,free fall,1232,,3.25,,3.25,,4,,,,,not emerged 5,no,,yes,yes,,yes,649.9,,,649.9,659907663.1,,Yes,"Plastics Products, Not Elsewhere Classified",D: Manufacturing,308 Miscellaneous Plastics Products,30 Rubber and Miscellaneous Plastics Products,3089,,Not tort,,,,,,,,,,,,,,331893760,voluntary,,,,2022,
"Basic Energy Services, Inc. (2021)",,349.073,,,349.073,379,,359,331,,,,,21-90002,,,Keith L. Schilling,DateCeoEnd is closing date of multiple 363 sales,NoReplace,11,0001109189,,,Houston,Houston,Houston,,yes,Prime Clerk LLC,,,yes,Brown Rudnick,Brown Rudnick LLP,,no,,,,no,,,,296.171,273.567,06985P,209,12/31/2020,,,12/31/2020,12/31/2020#https://www.sec.gov/Archives/edgar/data/1109189/000110918921000033/0001109189-21-000033-index.htm#,,,,,,9/23/2021,12/19/2019,10/1/2021,8/27/2021,,8/9/2022,,8/17/2021,6/28/2022,8/9/2022,8/26/2022,,,8/17/2021,9/30/2011,,,,,37,,357,OT,Weil Gotshal,"Weil, Gotshal & Manges LLP",,Lazard Fr�res & Company,"Guggenheim Credit Services, LLC as agent",35,,,,yes,yes,confirmed,TX SD,,,,,,1436,yes,yes,yes,-73.458,-79.6957017,-18.997,,,no,pending,2800,,1,,,,,pending,8,,,123.383,121.033,,,115.318,,117.7,137024,,Fort Worth,0.002833548,940437,TX Fort Worth,1305,TX,235,1,-249.208,,DE,,,,TX SD,David R. Jones,David R. Jones,529.705,,,529.705,574.6850128,,595.6184518,549,8,8,,11.9,multiple,liquidated,-268.175,,13,free fall,1229,,3.25,,5.25,5.5,3.25,,,,,not emerged 5,no,,yes,yes,,"yes, contract",411.375,,,411.375,446306995.6,,Yes,"Oil and Gas Field Services, Not Elsewhere Classified",B: Mining,138 Oil And Gas Field Services,13 Oil And Gas Extraction,1389,,Not tort,,,no,,,,,,,,,,,331893760,voluntary,2022,2022,,2021,
CBL & Associates Properties Inc. (CBL & Associates LP),,4622.346,,,4622.346,5272,2945.979,5205,4564.043,,,,,20-35226,,,Stephen D. Lebovitz,,CEO still in office 11/2/2022,11,0000910612,0000910612,,Houston,Houston,Houston,,yes,"Epiq Corporate Restructuring, LLC",,,yes,McDermott Will,McDermott Will & Emery LLP,,no,,,,no,,,,273.567,260.229,124830,100,12/31/2019,,,12/31/2019,12/31/2019#https://www.sec.gov/Archives/edgar/data/910612/000156459020009393/0001564590-20-009393-index.htm#,,,12/31/2021,12/31/2021#https://www.sec.gov/Archives/edgar/data/910612/000156459022013053/0001564590-22-013053-index.htm#,,,1/1/2010,9/9/9999,11/13/2020,,8/11/2021,,,5/25/2021,8/11/2021,11/1/2021,8/11/2021,,11/1/2020,9/30/2011,,,,,,,283,OT,Weil Gotshal,"Weil, Gotshal & Manges LLP",,"Moelis & Company (bnkr) / Berkeley Research Group, LLC (finadv)",,,,,,no,no,confirmed,TX SD,,,,,,1397,yes,yes,yes,-15.791,-18.009989,241.955,,,yes,yes,594,460,1,1,,,,pending,56,,yes,121.033,116.429,,123.383,118.222,,115.256,029082,029082,Chattanooga,0.00055538,181370,TN Chattanooga,624,TN,692,1,-108.777,,DE,,,,TX SD,David R. Jones,Marvin P. Isgur,3758.321,,,3758.321,4286.449234,2544.879,4506.924757,3951.632,8,11,,9.433333333,,CBL Properties,-108.777,,177,prenegotiated,1220,5.5,4.75,,5.25,3.25,3.25,,,,,not emerged 5,no,,no,no,no,no,768.696,,,768.696,876714996.1,,Yes,Real Estate Investment Trusts,"H: Finance, Insurance, And Real Estate",679 Miscellaneous Investing,67 Holding And Other Investment Offices,6798,,Not tort,,,no,,,,,,,,,,,326569308,voluntary,2021,2021,2021,2020,
"Clovis Oncology, Inc.",,472.833,,,472.833,473,,319,319.164834,,,,,22-11292,,,Patrick J. Mahaffy,Begin Date is company founding date,CEO still in office 1/2/2023,11,0001466301,,,,Wilmington,Wilmington,,yes,Kroll Restructuring Administration LLC,,,case not disposed,,,,case not disposed,,,,case not disposed,,,,,296.797,189464,100,12/31/2021,,,12/31/2021,12/31/2021#https://www.sec.gov/Archives/edgar/data/1466301/000155837022001810/0001558370-22-001810-index.htm#,,,,,,,4/20/2009,9/9/9999,,,,,,,,,,,12/11/2022,,,,,,,,,DE,Willkie Farr,Willkie Farr & Gallagher LLP,,,,,,,,,case not disposed,pending,DE,,,,,,,yes,yes,yes,-219.99,-219.99,-211.494,,,pending,pending,413,,1,,,,,pending,6,,,,,,,123.085,,116.429,196055,,"Boulder
Boulder
Boulder",0.00031389,104178,CO Denver,1555,CO,1567,28,-264.524,,DE,,,,,,J. Kate Stickles,751.673,,,751.673,751.673,,754.564457,754.564457,,12,,,,pending,-264.524,,3,free fall,1236,,3.25,,3.25,,7,,,,,not emerged 5,no,,,pending,,yes,148.757,,,148.757,148757000,,Yes,Pharmaceutical Preparations,D: Manufacturing,283 Drugs,28 Chemicals and Allied Products,2834,,Not tort,,,,,,,,,,,,,,331893760,voluntary,,,,2022,
Endo International plc,,8767.415,,,8767.415,8786,,6344,6330.717,,,,,22-22549,,,Blaise Coleman,,CEO still in office 11/2/2022,11,0001593034,,,,New York,New York,,yes,"Kroll, LLC",,,case not disposed,,,,case not disposed,,,,case not disposed,,,,,296.171,G30401,106,12/31/2021,,,12/31/2021,12/31/2021#https://www.sec.gov/Archives/edgar/data/1593034/000159303422000012/0001593034-22-000012-index.htm#,,,,,,,3/6/2020,9/9/9999,,,,,,,,,,,8/16/2022,,,,,,,,,NY,Skadden Arps,"Skadden, Arps, Slate, Meagher & Flom LLP",,,,,,,,,case not disposed,pending,NY SD,,,,,,,yes,yes,yes,856.613,858.4235748,1288.994,,,pending,pending,3103,,,,,,,pending,6,,,,123.383,,,121.033,,115.318,063645,,Dublin,0.004308608,1430000,Outside United States,,Ireland,3176,,-569.081,,Ireland,,,,,,James L. Garrity Jr.,10011.401,,,10011.401,10032.56154,,9555.433183,9535.279,,8,,,,pending,-613.245,,76,prenegotiated,1234,,3.25,,3.25,,5.5,,,,,not emerged 5,no,,,pending,,"yes, buyer",2993.206,,,2993.206,2999532571,,Yes,Pharmaceutical Preparations,D: Manufacturing,283 Drugs,28 Chemicals and Allied Products,2834,,Other products,,,,,,,,,,,,,,331893760,voluntary,,,,2022,
"Ferrellgas Partners, L.P. (Ferrellgas Partners Finance Corp.)",,1668.19,,,1668.19,1893,1729.644,1875,1652.844,,,,,21-10021,,,James E. Ferrell,became interim CEO 9/27/2016,CEO still in office 11/2/2022,11,0000922358,0000922358,,Wilmington,Wilmington,Wilmington,,yes,Prime Clerk LLC,,,no,,,,denied,,,,no,,,,264.877,261.582,315293,100,7/31/2020,,,7/31/2020,7/31/2020#https://www.sec.gov/Archives/edgar/data/922358/000155837020011490/0001558370-20-011490-index.htm#,,,7/31/2021,7/31/2021#https://www.sec.gov/Archives/edgar/data/922358/000155837021013178/0001558370-21-013178-index.htm#,,,12/31/2020,9/9/9999,,,3/5/2021,,,2/5/2021,3/5/2021,3/30/2021,3/5/2021,,1/11/2021,9/9/1998,,,,,,,53,DE,Squire Patton,Squire Patton Boggs (US) LLP,,Moelis & Company LLC / Ryniker Consultants,,,,,,no,no,confirmed,DE,,,,,,203,yes,yes,yes,156.594,177.6751818,232.786,,,yes,yes,3945,3825,30,34,,,,pending,8,,no,118.225,118.225,,122.58,116.832,,115.882,013962,013962,Overland Park,0.000593904,197113,KS Kansas City,1026,KS,1020,12,-82.499,,DE,,,,DE,Mary F. Walrath,Mary F. Walrath,2876.458,,,2876.458,3263.695916,2552.723,3289.204514,2898.94,3,1,,1.766666667,,"Ferrellgas Partners, L.P.",-82.499,,2,prepackaged,1223,3.25,4.75,,5.5,3.25,3.25,,,,,not emerged 5,no,,no,no,no,no,1497.826,,,1497.826,1699468095,,Yes,,G: Retail Trade,,59 Miscellaneous Retail,5900,,Not tort,,,no,,,,,,,,,,,331893760,voluntary,2021,2021,2021,2021,
"GTT Communications, Inc.",,,4757.7,,4757.7,5105,,3005,2800,,,,,21-11880,,,Ernie Ortega,became interim CEO 7/6/2020,CEO still in office 11/2/2022,11,0001315255,,,New York,New York,New York,,yes,"Prime Clerk, LLC",,,no,,,,no,,,,no,,,,296.797,276.589,362393,100,,12/31/2019,,12/31/2019,12/31/2019#https://www.sec.gov/Archives/edgar/data/1315255/000131525520000029/0001315255-20-000029-index.htm#,,,,,,,4/14/2021,9/9/9999,,,12/28/2022,,,9/24/2021,12/28/2022,12/30/2022,12/28/2022,,10/31/2021,3/3/2015,,,,,,,423,NY,Akin Gump,Akin Gump Strauss Hauer & Feld LLP,,,,,,,,no,no,confirmed,NY SD,,,,,,821,yes,yes,yes,159.3,170.9386928,408.1,,,yes,pending,3100,,1,,,,,pending,8,,,,123.085,,,116.429,,118.222,163768,,McLean,0.000148572,49310,VA Alexandria,105,VA,211,15,-105.9,,DE,,,,NY SD,Michael E. Wiles,Michael E. Wiles,,4466.6,,4466.6,4792.936379,,4399.552043,4100,12,10,,14.1,,"GTT Communications, Inc.",-105.9,,10,prepackaged,1230,,3.25,,5,7.5,3.25,,,,,not emerged 5,no,,yes,no,yes,no,,1727,,1727,1853177165,,Yes,"Telephone Communications, Except Radiophones","E: Transportation, Communications, Electric, Gas",481 Telephone Communications,48 Communications,4813,,Not tort,,,no,,,,,,,,,,,331893760,voluntary,2022,2022,2022,2021,
Gulfport Energy Corporation,,3882.819,,,3882.819,4428,2168.232,2709,2375.559,,,,,20-35562,,,David M. Wood,,Replaced,11,0000874499,0000874499,,Houston,Houston,Houston,,yes,"Epiq Corporate Restructuring, LLC",,,yes,Kramer Levin,Kramer Levin Naftalis & Frankel LLP,,no,,,,no,,,,267.054,260.229,402635,304,12/31/2019,,,12/31/2019,12/31/2019#https://www.sec.gov/Archives/edgar/data/874499/000162828020002453/0001628280-20-002453-index.htm#,,,12/31/2021,12/31/2021#https://www.sec.gov/Archives/edgar/data/874499/000162828022004445/0001628280-22-004445-index.htm#,,,12/18/2018,5/17/2021,11/27/2020,,4/27/2021,,12/18/2020,2/23/2021,4/27/2021,5/17/2021,4/27/2021,,11/13/2020,9/30/2011,,,,,,,165,OT,Kirkland Ellis,Kirkland & Ellis LLP,,"Perella Weinberg Partners L.P. (finadv)/ Tudor, Pickering, Holt & Co., (finadv)",Bank of Nova Scotia as administrative agent,420,,,,yes,yes,confirmed,TX SD,,,,,,1262,yes,yes,yes,-1699.082,-1937.841057,-1145.035,,,yes,yes,298,212,1,1,,,,pending,56,,yes,120.243,116.429,,122.403,118.222,,115.256,026069,026069,Oklahoma City,0.001989841,649821,OK Oklahoma City,1238,OK,409,1,-2002.358,,DE,,,,TX SD,David R. Jones,David R. Jones,2568.227,,,2568.227,2929.120386,1560.858,2874.499628,2520.336,4,11,,5.5,,Gulfport Energy Corporation,-2002.358,,11,prenegotiated,1221,3.5,4.75,,5.25,3.25,3.25,,,,,not emerged 5,no,,yes,no,yes,no,1346.008,,,1346.008,1535152256,,Yes,Crude Petroleum and Natural Gas,B: Mining,131 Crude Petroleum and Natural Gas,13 Oil And Gas Extraction,1311,,Not tort,,,no,,,,,,,,,,,326569308,voluntary,2021,2021,2021,2020,
"GWG Holdings, Inc.",,,3564.957,,3564.957,3660,,3583,3490.196,,,,,22-90032,,,Murray T. Holland,,CEO still in office 6/24/2022,11,0001522690,,,,Houston,Houston,,yes,Donlin Recano & Company,,,case not disposed,,,,case not disposed,,,,case not disposed,,,,,289.109,36192A,109,,12/31/2020,,12/31/2020,12/31/2020#https://www.sec.gov/Archives/edgar/data/1522690/000152269021000008/0001522690-21-000008-index.htm#,,,,,,,4/26/2019,9/9/9999,,,,,,,,,,,4/20/2022,,,,,,,,,OT,Mayer Brown,Mayer Brown LLP,,,,,,,,,case not disposed,pending,TX SD,,,,,,,yes,yes,yes,-106.561,-109.3946751,-105.391,,,pending,pending,160,,1,,,,,pending,6,,,,122.403,,,120.243,,106.92,020441,,Dallas,0.003882089,1288441,TX Dallas,1275,TX,225,1,-153.915,,DE,,,,,,Marvin P. Isgur,,1891.05,,1891.05,1941.33689,,2118.056498,2063.192,,4,,,,pending,-153.915,,3,free fall,1231,,3.25,,3.25,,3.5,,,,,not emerged 5,no,,,pending,,no,,124.371,,124.371,127678279.4,,Yes,Life Insurance,"H: Finance, Insurance, And Real Estate",631 Life Insurance,63 Insurance Carriers,6311,,Not tort,,,,,,,,,,,,,,331893760,voluntary,,,,2022,
HighPoint Resources Corporation,,826.637,,,826.637,926,,926,826.637,,,,,21-10565,,,R. Scot Woodall,End date is effective date of merger with Bonanza Creeek persuant to plan,NoReplace,11,0001725526,,,Wilmington,Wilmington,Wilmington,,yes,"Epiq Corporate Restructuring, LLC",,,no,,,,no,,,,no,,,,264.877,264.877,43114K,207,12/31/2020,,,12/31/2020,12/31/2020#https://www.sec.gov/Archives/edgar/data/1725526/000172552621000016/0001725526-21-000016-index.htm#,,,,,,,1/15/2013,4/1/2021,,,3/18/2021,,,2/10/2021,3/18/2021,4/1/2021,,,3/14/2021,2/23/2006,,,,,,,4,DE,Kirkland Ellis,Kirkland & Ellis LLP / Kirkland & Ellis International LLP,,"Tudor, Pickering, Holt, & Co. / Perella Weinberg Partners LP",,,,,,no,no,confirmed,DE,,,,,,110,yes,yes,yes,-1276.933,-1430.814618,-1031.419,,,no,pending,124,,1,,,,,pending,8,,,118.225,118.225,,122.58,116.832,,115.882,162459,,Denver,0.002143647,711463,CO Denver,1555,CO,1557,1,-1163.981,,DE,,,,DE,Christopher S. Sontchi,Christopher S. Sontchi,903.32,,,903.32,1012.177977,,852.0729618,760.434,3,3,,0.133333333,,liquidated,-1163.981,,3,prepackaged,1225,3.5,4.25,,5.5,3.25,3.25,,,,,not emerged 5,no,,yes,no,yes,no,250.347,,,250.347,280516007.7,,Yes,Crude Petroleum and Natural Gas,B: Mining,131 Crude Petroleum and Natural Gas,13 Oil And Gas Extraction,1311,,Not tort,,,no,,,,,,,,,,,331893760,voluntary,2021,2021,,2021,
